time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/8 10:23:23,BNB,Close Long,999.5,0.661,660.6695000000001,0.297301,3.199389
2025/11/8 10:26:23,HYPE,Open Short,42.925,8.22,352.8435,0.158779,-0.158779
2025/11/8 10:32:26,HYPE,Close Short,43.034,8.22,353.73948,0.15918,-1.0551599999999999
2025/11/8 10:35:25,SOL,Open Short,163.6926511628,2.15,351.93920000002,0.158372,-0.158372
2025/11/8 10:59:27,ETH,Open Short,3441.2,0.5367,1846.8920399999997,0.831101,-0.831101
2025/11/8 11:29:23,ETH,Close Short,3453.6,0.5367,1853.5471199999997,0.834096,-7.489176
2025/11/8 11:41:28,HYPE,Open Short,42.428,8.15,345.7882,0.155604,-0.155604
2025/11/8 12:08:28,HYPE,Close Short,42.49,8.15,346.29350000000005,0.155832,-0.6611319999999999
2025/11/8 13:02:26,BNB,Open Short,995.09,0.348,346.29132,0.155831,-0.155831
2025/11/8 13:17:28,HYPE,Open Short,41.8,11.95,499.50999999999993,0.224779,-0.224779
2025/11/8 13:38:25,HYPE,Close Short,41.413,11.95,494.8853499999999,0.222698,4.401952
2025/11/8 13:38:28,XRP,Open Short,2.3143,153,354.0879,0.159339,-0.159339
2025/11/8 14:23:22,BNB,Close Short,991.67,0.348,345.10115999999994,0.155295,1.0348650000000001
2025/11/8 14:47:24,XRP,Close Short,2.3183,153,354.69989999999996,0.159614,-0.771614
2025/11/8 15:14:25,SOL,Close Short,160.72,2.15,345.548,0.155496,6.235594
2025/11/8 15:14:28,HYPE,Open Short,40.712,8.67,352.97304,0.158837,-0.158837
2025/11/8 15:26:27,ETH,Open Short,3427.7,0.5402,1851.64354,0.833239,-0.833239
2025/11/8 15:50:24,ETH,Close Short,3446.9,0.5402,1862.01538,0.837906,-11.209746
2025/11/8 16:17:27,SOL,Open Short,160.35,3.12,500.292,0.225131,-0.225131
2025/11/8 16:23:25,HYPE,Close Short,40.773,8.67,353.50191,0.159075,-0.6879449999999999
2025/11/8 16:26:27,BNB,Open Long,1000.7,0.5,500.35,0.225157,-0.225157
2025/11/8 16:36:08,SOL,Close Short,161.84,3.12,504.9408,0.227223,-4.876023
2025/11/8 17:35:24,ETH,Open Long,3463.4,0.4659,1613.59806,0.726119,-0.726119
2025/11/8 17:59:25,BNB,Close Long,994.61,0.5,497.305,0.223787,-3.268787
2025/11/8 18:05:21,ETH,Close Long,3438,0.4659,1601.7641999999998,0.720793,-12.554653
2025/11/8 18:11:29,BNB,Open Long,993.32,0.327,324.81564000000003,0.146167,-0.146167
2025/11/8 19:08:23,BNB,Close Long,997.71,0.327,326.25117,0.146813,1.288717
2025/11/8 19:11:26,HYPE,Open Long,41.487,7.86,326.08782,0.146739,-0.146739
2025/11/8 19:20:28,HYPE,Close Long,41.709,7.86,327.83274000000006,0.147524,1.597396
2025/11/8 19:23:25,HYPE,Open Long,41.758,7.83,326.96514,0.147134,-0.147134
2025/11/8 19:53:22,HYPE,Close Long,41.061,7.83,321.50763,0.144675,-5.602185
2025/11/8 19:56:24,ETH,Open Long,3407.2,0.591,2013.6551999999997,0.906144,-0.906144
2025/11/8 20:13:44,ETH,Close Long,3399.5,0.591,2009.1045,0.904097,-5.454797
2025/11/8 20:14:26,ETH,Open Short,3401.4,0.5829,1982.67606,0.892204,-0.892204
2025/11/9 01:20:39,ETH,Close Short,3375,0.5829,1967.2875,0.885279,14.503281
2025/11/9 01:23:25,HYPE,Open Long,40.512,8.09,327.74208,0.147483,-0.147483
2025/11/9 01:35:28,ETH,Open Short,3391.7,0.5083,1724.00111,0.7758,-0.7758
2025/11/9 01:38:25,HYPE,Close Long,40.361,8.09,326.52049,0.146934,-1.3685239999999999
2025/11/9 02:53:28,SOL,Open Short,157.99,2.02,319.13980000000004,0.143612,-0.143612
2025/11/9 02:59:27,BNB,Open Short,1004,0.001,1.004,0.000451,-0.000451
2025/11/9 03:11:27,BNB,Close Short,1004.4,0.001,1.0044,0.000451,-0.000851
2025/11/9 04:38:23,ETH,Close Short,3397.1,0.5083,1726.7459299999998,0.777035,-3.521855
2025/11/9 04:50:26,ETH,Open Short,3401.7,0.5009,1703.9115299999999,0.76676,-0.76676
2025/11/9 05:29:24,SOL,Close Short,157.9,2.02,318.958,0.143531,0.038269
2025/11/9 06:08:24,HYPE,Open Long,40.283,7.9,318.2357,0.143206,-0.143206
2025/11/9 06:53:23,HYPE,Close Long,40.353,7.9,318.7887,0.143454,0.4095460000000001
2025/11/9 07:53:21,ETH,Close Short,3401.3,0.5009,1703.71117,0.76667,-0.56631
2025/11/9 07:56:22,ETH,Open Short,3400.4,0.095,323.038,0.145367,-0.145367
2025/11/9 08:05:25,SOL,Open Short,157.71,2.05,323.3055,0.145487,-0.145487
2025/11/9 08:14:25,BNB,Open Short,988.32,0.613,605.84016,0.272628,-0.272628
2025/11/9 08:32:22,BNB,Close Short,986.5091680261,0.613,604.7301199999993,0.272127,0.8379129999999999
2025/11/9 10:14:27,HYPE,Open Short,40.369,8.02,323.75937999999996,0.145691,-0.145691
2025/11/9 10:32:22,HYPE,Close Short,40.2149226933,8.02,322.523680000266,0.145133,1.090567
2025/11/9 11:05:26,BNB,Open Short,981.72,0.628,616.52016,0.277434,-0.277434
2025/11/9 11:59:27,HYPE,Open Short,40.087,8.2,328.7134,0.147921,-0.147921
2025/11/9 12:11:24,SOL,Close Short,156.47,2.05,320.76349999999996,0.144343,2.3976569999999997
2025/11/9 12:41:52,BNB,Close Short,984.5766878981,0.628,618.3141600000068,0.27824,-2.07224
2025/11/9 13:08:41,SOL,Open Short,157.5581701031,3.88,611.325700000028,0.275096,-0.275096
2025/11/9 14:53:59,HYPE,Close Short,39.9469670732,8.2,327.56513000023995,0.147403,1.000867
2025/11/9 15:27:03,BNB,Open Short,986.7088888889,0.612,603.8658400000068,0.271739,-0.271739
2025/11/9 15:33:08,XRP,Open Short,2.2948,139,318.9772,0.143539,-0.143539
2025/11/9 15:35:54,XRP,Close Short,2.2946,139,318.94939999999997,0.143527,-0.115727
2025/11/9 16:18:05,HYPE,Open Short,40.299,7.81,314.73519,0.14163,-0.14163
2025/11/9 16:23:56,SOL,Close Short,158.8184278351,3.88,616.2155000001881,0.277295,-5.167367
