time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/14 13:34:27,XRP,Open Long,2.2941,5,11.4705,0.004955,-0.004955
2025/11/14 13:52:21,XRP,Close Long,2.3108,5,11.554,0.004991,0.07850900000000001
2025/11/14 14:46:19,BTC,Close Short,96704,0.01188,1148.84352,0.4963,12.07274
2025/11/14 14:52:31,BTC,Open Short,96301.4205457464,0.01246,1199.9157000000002,0.518356,-0.518356
2025/11/14 14:56:13,BTC,Close Short,97020,0.01246,1208.8692,0.522231,-9.475987
2025/11/14 14:58:31,ETH,Open Short,3208.8,0.2186,701.44368,0.303023,-0.303023
2025/11/14 14:59:20,ETH,Close Short,3221.4,0.2186,704.19804,0.304213,-3.058573
2025/11/14 15:07:24,BTC,Open Short,97172,0.01184,1150.51648,0.497023,-0.497023
2025/11/14 15:07:26,BTC,Close Short,97182,0.01184,1150.63488,0.497074,-0.6154740000000001
2025/11/14 15:10:26,BTC,Open Short,97133,0.00309,300.14097,0.12966,-0.12966
2025/11/14 15:46:49,ETH,Open Long,3227.2,0.0648,209.12255999999996,0.09034,-0.09034
2025/11/14 15:53:12,BTC,Close Short,97393,0.00309,300.94437,0.130007,-0.933407
2025/11/14 15:55:57,ETH,Close Long,3220,0.0648,208.65599999999998,0.090139,-0.5566989999999999
2025/11/14 15:56:00,BTC,Open Short,97229,0.0086,836.1694,0.361225,-0.361225
2025/11/14 16:13:25,ETH,Open Short,3201,0.0775,248.0775,0.107169,-0.107169
2025/11/14 16:37:26,BTC,Close Short,97200,0.0086,835.92,0.361117,-0.11171700000000001
2025/11/14 16:37:28,ETH,Close Short,3205.4,0.0775,248.4185,0.107316,-0.44831600000000005
2025/11/14 16:46:31,BTC,Open Short,97117,0.01171,1137.24007,0.491286,-0.491286
2025/11/14 17:49:42,ETH,Open Long,3155.9,0.0292,92.15228,0.039809,-0.039809
2025/11/14 17:52:29,ETH,Close Long,3158.4,0.0292,92.22528,0.039841,0.033158999999999994
2025/11/14 18:07:24,BNB,Open Long,911.05,0.098,89.2829,0.03857,-0.03857
2025/11/14 18:10:21,BNB,Close Long,912.23,0.098,89.39854000000001,0.038619,0.077021
2025/11/14 18:31:23,HYPE,Open Short,37.406,2.27,84.91162,0.036681,-0.036681
2025/11/14 18:37:18,HYPE,Close Short,37.572,2.27,85.28844000000001,0.036844,-0.413664
2025/11/14 18:46:28,HYPE,Open Short,37.664,2.04,76.83456000000001,0.033192,-0.033192
2025/11/14 19:01:19,BTC,Close Short,96757.8377455167,0.01171,1133.0342800000005,0.489465,3.7163250000000003
2025/11/14 19:10:21,HYPE,Close Short,37.152,2.04,75.79008,0.032741,1.0117390000000002
2025/11/14 19:31:27,BTC,Open Short,96432,0.01197,1154.29104,0.498653,-0.498653
2025/11/14 19:55:16,BTC,Close Short,95810,0.01197,1146.8457,0.495437,6.949903
2025/11/14 20:07:25,BTC,Open Short,95847,0.01233,1181.79351,0.510534,-0.510534
